[INFO] 2025-12-03 12:10:35,636 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,647 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,756 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,776 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,944 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,962 Ответ готов: 200
[INFO] 2025-12-03 12:10:35,962 время обработки запроса = 1.4912211894989014
[INFO] 2025-12-03 12:13:18,100 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-03 12:13:18,160 Ответ готов: 200
[INFO] 2025-12-03 12:13:18,161 время обработки запроса = 0.06056952476501465
[INFO] 2025-12-03 12:13:19,924 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-03 12:13:19,964 Ответ готов: 302
[INFO] 2025-12-03 12:13:19,964 время обработки запроса = 0.04036116600036621
[INFO] 2025-12-03 12:13:19,974 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-03 12:13:20,096 Ответ готов: 200
[INFO] 2025-12-03 12:13:20,096 время обработки запроса = 0.1219625473022461
[INFO] 2025-12-03 12:13:20,214 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:13:20,249 Ответ готов: 200
[INFO] 2025-12-03 12:13:20,249 время обработки запроса = 0.03494143486022949
[INFO] 2025-12-03 12:13:23,697 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-03 12:13:23,766 Ответ готов: 200
[INFO] 2025-12-03 12:13:23,766 время обработки запроса = 0.06911563873291016
[INFO] 2025-12-03 12:13:23,856 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:13:23,901 Ответ готов: 200
[INFO] 2025-12-03 12:13:23,901 время обработки запроса = 0.0444035530090332
[INFO] 2025-12-03 12:13:26,582 Запрос пришёл: /
[INFO] 2025-12-03 12:13:26,583 Ответ готов: 200
[INFO] 2025-12-03 12:13:26,584 время обработки запроса = 0.002022981643676758
[INFO] 2025-12-03 12:13:27,854 Запрос пришёл: /
[INFO] 2025-12-03 12:13:27,858 Ответ готов: 200
[INFO] 2025-12-03 12:13:27,858 время обработки запроса = 0.004563808441162109
[INFO] 2025-12-03 12:13:51,928 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-03 12:13:51,970 Ответ готов: 302
[INFO] 2025-12-03 12:13:51,970 время обработки запроса = 0.041593313217163086
[INFO] 2025-12-03 12:13:51,978 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-03 12:13:52,032 Ответ готов: 200
[INFO] 2025-12-03 12:13:52,032 время обработки запроса = 0.05473637580871582
[INFO] 2025-12-03 12:13:52,142 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:13:52,184 Ответ готов: 200
[INFO] 2025-12-03 12:13:52,184 время обработки запроса = 0.041535139083862305
[INFO] 2025-12-03 12:13:55,827 Запрос пришёл: /
[INFO] 2025-12-03 12:13:55,881 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:55,996 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,010 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,110 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,119 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,213 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,225 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,317 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,331 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,423 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,432 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,533 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,544 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,644 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,656 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,734 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,744 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,825 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,831 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:56,919 Курс: 2.8997
[INFO] 2025-12-03 12:13:56,926 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:13:57,000 Курс: 2.8997
